#time    potential    pressure    kinect   square_kin
1.21    -1.964    718.782    1357.432    1.84262076e6
1.22    -15.74    509.718    1353.776    1.832710301e6
1.23    -36.94    192.972    1377.057    1.896286243e6
1.24    -38.447    138.415    1388.508    1.927953533e6
1.25    -27.652    251.202    1381.32    1.908043655e6
1.26    -38.358    88.358    1379.529    1.903100733e6
1.27    -47.044    -44.635    1391.986    1.937625754e6
1.28    -46.815    -51.233    1395.051    1.946167713e6
1.29    -42.567    4.112    1392.291    1.93847384e6
1.3    -38.071    66.653    1387.391    1.924854305e6
1.31    -37.262    80.446    1384.379    1.916505719e6
1.32    -40.384    42.123    1385.915    1.920759235e6
1.33    -42.877    15.181    1389.399    1.930428755e6
1.34    -40.938    53.649    1390.028    1.932178433e6
1.35    -32.088    189.74    1385.206    1.918794493e6
1.36    -16.238    415.779    1372.64    1.884141132e6
1.37    -13.027    464.843    1359.72    1.848839201e6
1.38    -25.671    292.897    1367.477    1.869994406e6
1.39    -32.922    184.13    1378.105    1.899173029e6
1.4    -33.702    159.905    1381.443    1.908385555e6
1.41    -33.154    153.015    1380.667    1.906241699e6
1.42    -37.0    87.733    1381.928    1.909725373e6
1.43    -42.917    -3.726    1387.47    1.925074061e6
1.44    -46.731    -62.364    1392.501    1.939059588e6
1.45    -47.424    -70.968    1394.811    1.945498146e6
1.46    -43.53    -9.589    1393.654    1.942270895e6
1.47    -33.993    131.042    1386.979    1.923711831e6
1.48    -31.588    178.435    1378.768    1.901002443e6
1.49    -37.584    114.973    1382.837    1.912239189e6
1.5    -37.877    128.227    1386.246    1.921678456e6
1.51    -33.324    209.598    1383.705    1.914638406e6
1.52    -28.713    294.649    1378.561    1.900431017e6
1.53    -23.532    387.272    1375.299    1.891446299e6
1.54    -8.842    595.178    1365.813    1.865445804e6
1.55    -13.663    533.971    1356.493    1.840073483e6
1.56    -27.916    336.446    1370.381    1.877943814e6
1.57    -34.817    231.976    1379.784    1.90380286e6
1.58    -38.512    173.806    1384.601    1.917119541e6
1.59    -39.352    158.405    1386.712    1.922969491e6
1.6    -39.199    160.737    1386.612    1.922692583e6
1.61    -40.199    152.138    1387.004    1.923779438e6
1.62    -40.065    162.491    1387.935    1.926362848e6
1.63    -37.327    210.65    1386.348    1.921961659e6
1.64    -34.932    256.983    1383.448    1.913929028e6
1.65    -33.077    297.561    1381.665    1.908999279e6
1.66    -29.448    361.415    1379.236    1.902291372e6
1.67    -23.905    447.647    1374.548    1.889381574e6
1.68    -21.023    492.356    1369.556    1.875682466e6
1.69    -24.912    440.152    1370.14    1.877284154e6
